"Carbon dioxide emissions, per unit of GDP (kg per 2010 US$ of GDP)"
"Dimension: Environmental sustainability"
"SDG 9.4 By 2030, upgrade infrastructure and retrofit industries to make them sustainable, with increased resource-use efficiency and greater adoption of clean and environmentally sound technologies and industrial processes, with all countries taking action in accordance with their respective capabilities"
"Definition: Human-originated carbon dioxide emissions stemming from the burning of fossil fuels, gas flaring and cement manufacture, expressed in kilograms per unit of gross domestic product (GDP) in constant 2010 US dollars. Carbon dioxide emitted by forest biomass through depletion of forest areas is included."
"Source: United Nations Statistics Division (2020a). Global SDG Indicators Database. https://unstats.un.org/sdgs/indicators/database/. Accessed 21 July 2020."
""
"HDI Rank","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"7"," Sweden","0.16","","0.14","","0.12","","0.11","","0.10","","0.09","","0.09","","0.09","","0.09","","0.08",""
"2"," Switzerland","0.12","","0.12","","0.10","","0.09","","0.10","","0.10","","0.09","","0.08","","0.08","","0.08",""
"151"," Syrian Arab Republic","0.43","","0.51","","0.43","","0.49","","0.47","","0.40","","0.49","","0.64","","0.68","","0.79",""
"125"," Tajikistan","0.30","","0.20","","0.15","","0.14","","0.16","","0.15","","0.19","","0.19","","0.23","","0.23",""
"163"," Tanzania (United Republic of)","0.05","","0.07","","0.07","","0.07","","0.09","","0.09","","0.08","","0.08","","0.07","","0.07",""
"79"," Thailand","0.27","","0.27","","0.25","","0.25","","0.25","","0.25","","0.24","","0.24","","0.23","","0.22",""
"167"," Togo","0.16","","0.15","","0.27","","0.23","","0.18","","0.18","","0.18","","0.18","","0.18","","0.18",""
"67"," Trinidad and Tobago","0.43","","0.51","","0.54","","0.54","","0.53","","0.54","","0.56","","0.51","","0.44","","0.47",""
"95"," Tunisia","0.24","","0.22","","0.21","","0.21","","0.21","","0.21","","0.21","","0.21","","0.21","","0.21",""
"54"," Turkey","0.24","","0.20","","0.21","","0.20","","0.20","","0.18","","0.18","","0.18","","0.18","","0.19",""
"111"," Turkmenistan","1.55","","1.59","","1.15","","1.09","","1.01","","0.94","","0.87","","0.84","","0.79","","0.75",""
